paper_idx,arxiv_id,year,total_citations,num_references,paper_age,citations_per_year
7385,710.4162,2007,27,46,18,1.4210526315789473
1577,705.2414,2007,27,30,18,1.4210526315789473
1591,705.2456,2007,27,59,18,1.4210526315789473
1323,705.1365,2007,27,49,18,1.4210526315789473
5115,708.3808,2007,27,63,18,1.4210526315789473
6053,709.3152,2007,27,16,18,1.4210526315789473
6014,709.3023,2007,27,22,18,1.4210526315789473
1839,705.3462,2007,27,79,18,1.4210526315789473
7786,711.0152,2007,27,33,18,1.4210526315789473
2632,706.2171,2007,27,43,18,1.4210526315789473
1221,705.091,2007,27,29,18,1.4210526315789473
2386,706.1197,2007,27,66,18,1.4210526315789473
4384,708.068,2007,27,52,18,1.4210526315789473
4214,707.4655,2007,27,46,18,1.4210526315789473
7951,711.0806,2007,27,15,18,1.4210526315789473
656,704.2573,2007,27,50,18,1.4210526315789473
7861,711.0422,2007,27,47,18,1.4210526315789473
4255,708.0096,2007,27,66,18,1.4210526315789473
5892,709.2499,2007,27,43,18,1.4210526315789473
5879,709.2427,2007,27,27,18,1.4210526315789473
5787,709.2051,2007,27,91,18,1.4210526315789473
2425,706.1302,2007,27,72,18,1.4210526315789473
4342,708.0469,2007,27,79,18,1.4210526315789473
624,704.2426,2007,27,16,18,1.4210526315789473
4352,708.0513,2007,27,18,18,1.4210526315789473
2438,706.1345,2007,27,73,18,1.4210526315789473
5822,709.2207,2007,27,78,18,1.4210526315789473
7870,711.0437,2007,27,38,18,1.4210526315789473
2193,706.0369,2007,27,27,18,1.4210526315789473
1904,705.3786,2007,27,45,18,1.4210526315789473
7848,711.037,2007,27,31,18,1.4210526315789473
4999,708.3221,2007,27,55,18,1.4210526315789473
2675,706.2351,2007,27,49,18,1.4210526315789473
3955,707.3418,2007,27,152,18,1.4210526315789473
1392,705.1659,2007,26,66,18,1.368421052631579
1809,705.3338,2007,26,37,18,1.368421052631579
1659,705.2741,2007,26,30,18,1.368421052631579
2122,706.0045,2007,26,42,18,1.368421052631579
941,704.3634,2007,26,26,18,1.368421052631579
8700,711.4096,2007,26,51,18,1.368421052631579
2006,705.4199,2007,26,15,18,1.368421052631579
108,704.047,2007,26,14,18,1.368421052631579
6910,710.2009,2007,26,23,18,1.368421052631579
9424,712.182,2007,26,48,18,1.368421052631579
970,704.3801,2007,26,34,18,1.368421052631579
218,704.0929,2007,26,68,18,1.368421052631579
4070,707.4008,2007,26,19,18,1.368421052631579
8689,711.4046,2007,26,11,18,1.368421052631579
428,704.1653,2007,26,30,18,1.368421052631579
9521,712.2236,2007,26,22,18,1.368421052631579
5805,709.2131,2007,26,7,18,1.368421052631579
6961,710.2232,2007,26,38,18,1.368421052631579
8437,711.2753,2007,26,33,18,1.368421052631579
4364,708.0585,2007,26,24,18,1.368421052631579
5623,709.1388,2007,26,12,18,1.368421052631579
4441,708.0912,2007,26,11,18,1.368421052631579
8663,711.3913,2007,26,40,18,1.368421052631579
5850,709.2348,2007,26,13,18,1.368421052631579
8429,711.269,2007,26,4,18,1.368421052631579
7043,710.2568,2007,26,35,18,1.368421052631579
3246,707.0317,2007,26,66,18,1.368421052631579
3237,707.0288,2007,26,58,18,1.368421052631579
4081,707.406,2007,26,26,18,1.368421052631579
1390,705.1648,2007,26,25,18,1.368421052631579
3713,707.2474,2007,26,12,18,1.368421052631579
8736,711.4216,2007,26,19,18,1.368421052631579
3709,707.2459,2007,26,0,18,1.368421052631579
5691,709.1656,2007,26,49,18,1.368421052631579
5702,709.1712,2007,26,21,18,1.368421052631579
1052,705.0159,2007,26,15,18,1.368421052631579
192,704.0823,2007,26,68,18,1.368421052631579
1359,705.1544,2007,26,28,18,1.368421052631579
4146,707.4374,2007,26,77,18,1.368421052631579
6436,710.0002,2007,26,26,18,1.368421052631579
3236,707.0287,2007,26,75,18,1.368421052631579
6660,710.0979,2007,26,43,18,1.368421052631579
6667,710.101,2007,26,17,18,1.368421052631579
6668,710.1011,2007,26,22,18,1.368421052631579
5516,709.0962,2007,26,130,18,1.368421052631579
9581,712.2468,2007,26,52,18,1.368421052631579
5990,709.2912,2007,26,56,18,1.368421052631579
1669,705.278,2007,26,37,18,1.368421052631579
5504,709.094,2007,26,7,18,1.368421052631579
365,704.1437,2007,26,16,18,1.368421052631579
3504,707.1519,2007,26,19,18,1.368421052631579
8614,711.3641,2007,26,16,18,1.368421052631579
1214,705.0885,2007,26,50,18,1.368421052631579
9616,712.2598,2007,26,29,18,1.368421052631579
3732,707.2566,2007,26,66,18,1.368421052631579
4174,707.4492,2007,26,28,18,1.368421052631579
2086,705.4601,2007,26,40,18,1.368421052631579
6729,710.1246,2007,26,25,18,1.368421052631579
5471,709.0819,2007,26,67,18,1.368421052631579
9524,712.2239,2007,26,66,18,1.368421052631579
4181,707.4514,2007,26,66,18,1.368421052631579
4559,708.1355,2007,26,51,18,1.368421052631579
8902,711.4854,2007,26,22,18,1.368421052631579
